country;CCPI;G20
Denmark;76.92;0
Sweden;74.46;0
Norway;73.62;0
United Kingdom;73.29;1
Morocco;71.64;0
Chile;69.66;0
India;69.22;1
Lithuania;65.06;0
Malta;64.39;0
Germany;63.82;1
Finland;62.74;0
Switzerland;61.98;0
Portugal;61.45;0
France;61.33;1
Luxembourg;61.03;0
Netherlands;60.81;0
Ukraine;60.52;0
Egypt;59.83;0
European Union (27);59.53;1
Philippines;58.98;0
Greece;58.55;0
Colombia;58.11;0
Latvia;58.06;0
Indonesia;57.39;1
Croatia;56.26;0
Mexico;56.19;1
Italy;55.70;1
Thailand;55.28;0
Estonia;55.25;0
Brazil;55.17;1
Spain;54.71;0
New Zealand;54.49;0
Austria;52.80;0
China;52.66;1
Romania;52.59;0
South Africa;51.56;1
Slovak Republic;50.90;0
Cyprus;50.89;0
Turkey;50.75;1
Viet Nam;49.35;0
Bulgaria;49.02;0
Japan;48.94;1
Ireland;48.29;0
Argentina;47.50;1
Belarus;46.91;0
Belgium;46.27;0
Slovenia;43.73;0
Czech Republic;42.53;0
Poland;41.01;0
Hungary;40.71;0
Algeria;40.24;0
United States;37.90;1
Russian Federation;35.00;1
Malaysia;34.37;0
Australia;30.41;1
Korea;27.28;1
Chinese Taipei;27.11;0
Canada;26.73;1
Islamic Republic of Iran;26.35;0
Saudi Arabia;24.45;1
Kazakhstan;19.81;0
